2.000000000000000000e+00,1.252611333724903631e+00
3.000000000000000000e+00,8.434931414818107598e-01
4.000000000000000000e+00,4.441690590147079343e-01
5.000000000000000000e+00,3.312312389928016021e-01
6.000000000000000000e+00,3.061260453539048076e-01
7.000000000000000000e+00,2.866418652193490346e-01
8.000000000000000000e+00,2.980737956171516934e-01
9.000000000000000000e+00,8.809645469868748746e-02
1.000000000000000000e+01,7.854822746888025231e-02
1.100000000000000000e+01,1.251450623979313004e-01
1.200000000000000000e+01,9.486900133009679159e-02
1.300000000000000000e+01,8.849152059394979619e-02
1.400000000000000000e+01,1.453376256045298132e-01
1.500000000000000000e+01,8.467232856996191603e-02
